mechanism,proportion,method,n_folds,cached,secs,n_runs,top1_acc,top1_acc_std,top2_acc,top2_acc_std,top3_acc,top3_acc_std,top4_acc,top4_acc_std,top5_acc,top5_acc_std
MCAR,0.1,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MCAR,0.3,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MCAR,0.5,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MAR,0.1,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MAR,0.3,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MAR,0.5,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MNAR,0.1,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MNAR,0.3,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MNAR,0.5,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MCAR-Row,0.1,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MCAR-Row,0.3,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MCAR-Row,0.5,clean,3,False,49.9,9,0.4776671610808306,0.018575768860218212,0.7166632919799328,0.017941390023250646,0.8280307340709361,0.009433279716486775,0.8930964266632976,0.0088426436393306,0.9254002279114025,0.012290173100026596
MCAR,0.1,mean,True,3,45.4,9,0.4757412934332705,0.018806970078221092,0.7138069139620673,0.014670653241002488,0.8187221317546037,0.01073810106339645,0.8772816724539618,0.011189648020873183,0.9062799292921431,0.013714330986315207
MCAR,0.3,mean,True,3,45.7,9,0.45284423216156294,0.01827658788303071,0.6770184823849638,0.01890778338120319,0.7931851970404316,0.014153815207086841,0.8522599975027778,0.008663163741002072,0.8835707122398324,0.009926626974592274
MCAR,0.5,mean,True,3,51.7,9,0.39247716379752146,0.025211567671933513,0.6207037363118368,0.03903134169275086,0.7427522369762078,0.030323728468446064,0.8279539740810778,0.019922954034502133,0.8715994752022991,0.014350965224245862
MAR,0.1,mean,True,3,46.1,9,0.47802824890001905,0.019572690107941576,0.7171163701564918,0.012187394472182528,0.8207266356039106,0.008551082609025056,0.8782655426031404,0.011985076508734671,0.9039939406634319,0.016218598418754802
MAR,0.3,mean,True,3,46.1,9,0.45092288383023593,0.015568720880514145,0.6773547994164731,0.013981679343418882,0.7863238694373424,0.011987114681126667,0.8477402715735849,0.01341857585369262,0.8791254977504689,0.01302176269350324
MAR,0.5,mean,True,3,46.2,9,0.3795131767185038,0.029876646849238978,0.5940228153745035,0.04698804139235704,0.7336742824995324,0.04445391317918627,0.8218398671931414,0.03126453375659585,0.8659101324093876,0.02015175776933748
MNAR,0.1,mean,True,3,44.8,9,0.47930344993838175,0.01803590583011966,0.7202489061602154,0.01428760331504654,0.8240219968139249,0.01077470042050368,0.8816599286308954,0.011391730418559766,0.9082840960513204,0.013434289705209317
MNAR,0.3,mean,True,3,44.7,9,0.44721463636009456,0.027465893875356823,0.6782504846281868,0.021620913413668078,0.7895730869057537,0.019175442640066032,0.8494033667914276,0.014924170858743804,0.8824534088848129,0.018057000390559172
MNAR,0.5,mean,True,3,45.4,9,0.3755141082142049,0.05118991528964748,0.6122786976149511,0.04406341812595328,0.7429560032432687,0.02360655430524311,0.822605769478028,0.016145136316213213,0.8694846854164264,0.012230817761841551
MCAR-Row,0.1,mean,True,3,44.5,9,0.4679816552622411,0.024438744719109777,0.6966033999255505,0.026929684962937052,0.790700449347969,0.01754763358899634,0.853505722392271,0.015663112437134977,0.8988811881790618,0.012360881834427002
MCAR-Row,0.3,mean,True,3,44.4,9,0.315968382415338,0.03819338183238831,0.5333830840386135,0.03338887607382433,0.7077809881641015,0.04237918947695451,0.8014760706388054,0.036519517976550446,0.8664391859352306,0.03428873255785777
MCAR-Row,0.5,mean,True,3,44.9,9,0.17391107386885743,0.04219150485286293,0.44500596399442277,0.12532694764232039,0.6002825857832851,0.18393660092921318,0.6890812518039551,0.19768616139708317,0.7475980241310636,0.20975821236552078
MCAR,0.1,knn,True,3,49.2,9,0.4768312358923949,0.015993450070734636,0.7232822043687821,0.016264104635080445,0.8296024150626238,0.011353957385266086,0.895657180484997,0.010076941269281393,0.9280412589531453,0.012357064926629868
MCAR,0.3,knn,True,3,53.5,9,0.4716358687732501,0.022309624759830966,0.7177113617882604,0.02115068472013525,0.8235210227965876,0.01583374793578045,0.8870684386084859,0.009964186906285914,0.9229225277111451,0.009437002607880149
MCAR,0.5,knn,True,3,55.7,9,0.46082742240019836,0.02079091550123814,0.6982885600256945,0.02027872866366308,0.814062435230617,0.013138090425257704,0.8823878034009591,0.010271553927927904,0.9188885009994257,0.009158736983019333
MAR,0.1,knn,True,3,49.0,9,0.4810486894038154,0.01815337089733493,0.7188751637231308,0.013043580752636555,0.8302654781737486,0.012722386686210974,0.8955854676627423,0.012801335996317467,0.9289524938743828,0.01117034387957119
MAR,0.3,knn,True,3,53.8,9,0.47095420439331676,0.01507719191008217,0.7138585041418727,0.013958308981556403,0.823781817117879,0.013530307355790534,0.891282015583416,0.012404438155030105,0.9231151042241907,0.012718466077082762
MAR,0.5,knn,True,3,55.0,9,0.46002865978508584,0.015372461476294955,0.6977082356620578,0.010321963314164621,0.8132905011919717,0.0068236706090093885,0.8790710423045618,0.010471724669023418,0.9180545539194161,0.010234167777992945
MNAR,0.1,knn,True,3,50.0,9,0.48267716772419944,0.0170717981516978,0.7156570681381688,0.008658402870363974,0.8242399294302062,0.014840962522158295,0.8918376802402523,0.011957385894509055,0.9256586273537759,0.011494986439220962
MNAR,0.3,knn,True,3,53.5,9,0.4681259810962611,0.017908054118793964,0.7083285451579349,0.013692945902060764,0.8175673332041891,0.016444146851860197,0.8863437439784777,0.01122325210841607,0.9221855032277367,0.009174879796825191
MNAR,0.5,knn,True,3,55.3,9,0.45384745744017124,0.01829447533164842,0.6855823693253762,0.025450275380504265,0.8100391992505389,0.01637414123097403,0.8785381036784513,0.014489628620683138,0.91870719863704,0.013042203708926973
MCAR-Row,0.1,knn,True,3,47.4,9,0.48093127629468235,0.01592883434590273,0.7205119359997005,0.01493593568056248,0.8278749563568504,0.011685820453913308,0.893171084432016,0.007500159374217292,0.9268575073889479,0.0120823726358298
MCAR-Row,0.3,knn,True,3,49.9,9,0.47838148174968903,0.01670946119346511,0.7209426696680148,0.01110501633605752,0.8255166029418007,0.013391695170278085,0.8928197408260695,0.010360510886873137,0.9248489009938997,0.01144119897667245
