scenario,proportion,method,predictor,seed,top1_acc,top3_acc,top5_acc
MCAR,0.1,Clean,knn,0,0.30869565217391304,0.7239130434782609,0.8695652173913043
MCAR,0.3,Clean,knn,0,0.30869565217391304,0.7239130434782609,0.8695652173913043
MCAR,0.5,Clean,knn,0,0.30869565217391304,0.7239130434782609,0.8695652173913043
MAR,0.1,Clean,knn,0,0.30869565217391304,0.7239130434782609,0.8695652173913043
MAR,0.3,Clean,knn,0,0.30869565217391304,0.7239130434782609,0.8695652173913043
MAR,0.5,Clean,knn,0,0.30869565217391304,0.7239130434782609,0.8695652173913043
MNAR,0.1,Clean,knn,0,0.30869565217391304,0.7239130434782609,0.8695652173913043
MNAR,0.3,Clean,knn,0,0.30869565217391304,0.7239130434782609,0.8695652173913043
MNAR,0.5,Clean,knn,0,0.30869565217391304,0.7239130434782609,0.8695652173913043
MCAR,0.1,Clean,mlp,0,0.08043478260869565,0.16521739130434782,0.24782608695652175
MCAR,0.3,Clean,mlp,0,0.08043478260869565,0.16521739130434782,0.24782608695652175
MCAR,0.5,Clean,mlp,0,0.08043478260869565,0.16521739130434782,0.24782608695652175
MAR,0.1,Clean,mlp,0,0.08043478260869565,0.16521739130434782,0.24782608695652175
MAR,0.3,Clean,mlp,0,0.08043478260869565,0.16521739130434782,0.24782608695652175
MAR,0.5,Clean,mlp,0,0.08043478260869565,0.16521739130434782,0.24782608695652175
MNAR,0.1,Clean,mlp,0,0.08043478260869565,0.16521739130434782,0.24782608695652175
MNAR,0.3,Clean,mlp,0,0.08043478260869565,0.16521739130434782,0.24782608695652175
MNAR,0.5,Clean,mlp,0,0.08043478260869565,0.16521739130434782,0.24782608695652175
MCAR,0.1,DropMissing,knn,0,,,
MCAR,0.1,DropMissing,mlp,0,,,
MCAR,0.1,Mean,knn,0,0.2891304347826087,0.7108695652173913,0.8673913043478261
MCAR,0.1,Mean,mlp,0,0.08695652173913043,0.17391304347826086,0.2543478260869565
MCAR,0.1,kNN,knn,0,0.3,0.7065217391304348,0.8543478260869565
MCAR,0.1,kNN,mlp,0,0.08695652173913043,0.17391304347826086,0.26521739130434785
MCAR,0.1,MICE,knn,0,0.30434782608695654,0.7130434782608696,0.8695652173913043
MCAR,0.1,MICE,mlp,0,0.07173913043478261,0.16304347826086957,0.23478260869565218
MCAR,0.1,SoftImpute,knn,0,0.29782608695652174,0.7239130434782609,0.8760869565217392
MCAR,0.1,SoftImpute,mlp,0,0.08043478260869565,0.1782608695652174,0.2673913043478261
MCAR,0.1,HyperImpute,knn,0,0.3065217391304348,0.717391304347826,0.8717391304347826
MCAR,0.1,HyperImpute,mlp,0,0.07173913043478261,0.1673913043478261,0.23478260869565218
MCAR,0.1,DiffPuter,knn,0,0.30217391304347824,0.7217391304347827,0.8760869565217392
MCAR,0.1,DiffPuter,mlp,0,0.08478260869565217,0.18043478260869567,0.25217391304347825
MCAR,0.1,GRAPE,knn,0,0.3,0.7065217391304348,0.8652173913043478
MCAR,0.1,GRAPE,mlp,0,0.08043478260869565,0.18043478260869567,0.2543478260869565
MCAR,0.3,DropMissing,knn,0,,,
MCAR,0.3,DropMissing,mlp,0,,,
MCAR,0.3,Mean,knn,0,0.28695652173913044,0.6630434782608695,0.8173913043478261
MCAR,0.3,Mean,mlp,0,0.07608695652173914,0.1782608695652174,0.25
MCAR,0.3,kNN,knn,0,0.28695652173913044,0.6869565217391305,0.8130434782608695
MCAR,0.3,kNN,mlp,0,0.08695652173913043,0.1934782608695652,0.2543478260869565
MCAR,0.3,MICE,knn,0,0.3,0.7,0.841304347826087
MCAR,0.3,MICE,mlp,0,0.08260869565217391,0.1826086956521739,0.2891304347826087
MCAR,0.3,SoftImpute,knn,0,0.2782608695652174,0.6760869565217391,0.8260869565217391
MCAR,0.3,SoftImpute,mlp,0,0.07608695652173914,0.17391304347826086,0.24565217391304348
MCAR,0.3,HyperImpute,knn,0,0.2782608695652174,0.691304347826087,0.8543478260869565
MCAR,0.3,HyperImpute,mlp,0,0.08260869565217391,0.1826086956521739,0.26956521739130435
