mechanism,proportion,method,cached,n_folds,secs,n_runs,top1_acc,top1_acc_std,top2_acc,top2_acc_std,top3_acc,top3_acc_std,top4_acc,top4_acc_std,top5_acc,top5_acc_std
MCAR,0.1,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MCAR,0.3,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MCAR,0.5,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MAR,0.1,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MAR,0.3,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MAR,0.5,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MNAR,0.1,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MNAR,0.3,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MNAR,0.5,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MCAR-Row,0.1,clean,3,False,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MCAR-Row,0.3,clean,3,False,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MCAR-Row,0.5,clean,3,False,77.5,9,0.4006243832084257,0.03454056065131,0.6233638129970357,0.0428930653099846,0.7628928399728259,0.0430690120379779,0.8371579466468354,0.0383720129436978,0.8827985105631464,0.033671313927508
MCAR,0.1,mean,True,3,70.1,9,0.3993058133923698,0.0289991320915437,0.6197946217925293,0.0366435623380053,0.7528357055761866,0.033445666020277,0.8354473572455733,0.030733113590272,0.8831469254873734,0.0301512866057895
MCAR,0.3,mean,True,3,71.3,9,0.3781259765091067,0.0393970422397388,0.595970383140974,0.0435178003673497,0.7341705616342541,0.0375256412027717,0.8171324675214087,0.0381386538241411,0.8704370084534295,0.0382017292616144
MCAR,0.5,mean,True,3,72.8,9,0.3465623969553752,0.0398185153770638,0.5568612685838654,0.0426712604225412,0.6977551204855907,0.0504994619676714,0.788552959190921,0.0492474693047207,0.849345732159451,0.0418108640254907
MAR,0.1,mean,True,3,70.8,9,0.3919302744341885,0.0398827478728286,0.609971911541327,0.0437120203866676,0.7485442143437127,0.0361634356539812,0.8329016392163201,0.0347177819221826,0.8775507767653334,0.0324895355988084
MAR,0.3,mean,True,3,63.1,9,0.3631981654653688,0.0430313967882748,0.5724869561281327,0.0409439553338666,0.70879334901621,0.0350324235983489,0.8050262179334291,0.0261233300059423,0.8681210727664,0.0234998061587095
MAR,0.5,mean,True,3,71.9,9,0.3293701107005983,0.0332911507589749,0.5342382078440349,0.0410351931867022,0.6744515250852307,0.0398726235733764,0.7625429552923593,0.0367579171677558,0.8284567547040483,0.02987283241341
MNAR,0.1,mean,True,3,70.7,9,0.3905747015176372,0.0367888207072909,0.6187906743560758,0.0337168832204778,0.7525331562295332,0.0311489198895131,0.8323772067883896,0.0322972129761805,0.8820672695591951,0.0330525591344384
MNAR,0.3,mean,True,3,72.1,9,0.370526539664403,0.0361847580047786,0.5895590780848381,0.0457448152045163,0.7291277986000321,0.0488540417250911,0.8105877044515846,0.0471743640565592,0.8683355631268392,0.0423648594249202
MNAR,0.5,mean,True,3,70.8,9,0.3384618724673562,0.0409651069063688,0.5492668865256118,0.0416595544866495,0.6867024795065227,0.0474096113414065,0.7805468762919612,0.0431592468943422,0.8475738716469547,0.0363004302791945
MCAR-Row,0.1,mean,True,3,70.5,9,0.3862196518441814,0.0270343270232528,0.5896749466660661,0.0293700975291254,0.7148847828806963,0.0325384438373529,0.7954275025815476,0.0327359477730066,0.8508373029489368,0.0309079836784133
MCAR-Row,0.3,mean,True,3,71.9,9,0.1593935045988687,0.0296545362073425,0.4079636132136672,0.031197113655083,0.5969086203283934,0.0571450542506057,0.7273259181805689,0.0434927108092321,0.8101391545459715,0.0300066285190717
MCAR-Row,0.5,mean,True,3,69.4,9,0.0412066487621228,0.0191260443626613,0.2591559417808354,0.1364040807074375,0.3890304322898595,0.206897209132374,0.4900719476733365,0.2487661446630318,0.5595461728252524,0.2608282003264862
